Questions,Answers
Tôi dễ dàng nhận ra điều này nhưng không kiểm soát được nó và cần những lời khuyên để kiềm chế cơn tức giận của mình.,"Tôi khuyên bạn nên làm việc dựa trên nhận thức về cảm xúc. Nhận thức về cảm xúc về cơ bản có nghĩa là biết bạn đang cảm thấy gì và tại sao. Nhận thức về cảm xúc cũng có nghĩa là bạn có thể xác định mối liên hệ giữa cách bạn cảm nhận và hành động của mình. Nói cách khác, biết rằng cảm xúc của bạn quyết định những gì bạn làm. Thông thường, cảm giác tổn thương hoặc bất an có thể biến thành sự tức giận nếu chúng ta không thể xác định và thể hiện cảm xúc đó một cách chính xác. Nhận thức được cảm xúc cũng có nghĩa là bạn có thể bày tỏ cảm xúc của mình với người khác. Không thể làm như vậy sẽ dẫn đến cảm giác thất vọng và bị hiểu lầm. Nhiều người vì nhiều lý do khác nhau không thể nắm bắt được cảm xúc của mình. Ví dụ, theo truyền thống, đàn ông được dạy dỗ không được bày tỏ nỗi buồn hay sự yếu đuối. Vì vậy, nhiều đàn ông đã học cách biến cảm giác buồn bã, bất an hoặc sợ hãi thành tức giận và thể hiện những cảm xúc này thành tức giận. Được dạy cách không cảm nhận một cảm xúc nào đó không làm cho cảm xúc đó biến mất. Thay vào đó, nó khiến chúng ta học cách diễn đạt nó theo những cách khác, không chính xác. Nếu một người đàn ông không bao giờ học cách nói “Tôi buồn” hoặc “điều đó thực sự làm tổn thương cảm xúc của tôi” và thay vào đó tỏ ra tức giận, thì phản ứng mà họ nhận được từ những người xung quanh sẽ là sự tức giận chứ không phải phản ứng với cảm giác thực sự tiềm ẩn. , điều này sẽ khiến người đàn ông cảm thấy cô đơn và bị hiểu lầm. Bạn có thể kiểm soát bản thân và không bùng nổ. Hãy bỏ đi, thoát khỏi tình huống đó, làm bất cứ điều gì bạn phải làm để không bị đả kích. Thay vì phản ứng theo cách bạn thường làm, hãy đi đâu đó một mình và suy nghĩ về những gì vừa xảy ra và cố gắng hiểu tại sao một điều “đơn giản” như vậy lại khiến bạn khó chịu. Cảm giác thực sự thúc đẩy những cơn bộc phát này là gì? Có lẽ bạn có thể bắt đầu nhận ra một mô hình cơ bản. Viết nhật ký về cơn tức giận có thể sẽ hữu ích. Viết ra mọi thứ khiến bạn khó chịu. Điều đó có thể giúp bạn nhìn thấy một khuôn mẫu và xác định điều gì có thể khiến bạn thất vọng. Nói chuyện với bác sĩ trị liệu về điều này sẽ có ích trong việc giúp xác định nguyên nhân sâu xa của sự bộc phát mà bạn đang trải qua."
"Tôi phải mất một thời gian dài mới ngủ được; Tôi ước tính khoảng hai giờ. Tôi thường xuyên gặp ác mộng, bắt đầu từ việc bị quái vật ăn thịt, tôi thường thức dậy trong sợ hãi và không thể thở được.

Tôi tin rằng tôi bắt đầu mất ngủ sau khi chia tay bạn gái 8 năm. Ngoài ra, công việc kinh doanh của bố tôi bị phá sản và mẹ tôi mắc bệnh mãn tính. Tôi bị căng thẳng rất nhiều và cuộc sống mất đi ý nghĩa.

Sau khi cải thiện cuộc sống và hình thành thói quen chạy bộ, tập thể dục để giải tỏa căng thẳng, các triệu chứng của tôi đã cải thiện. Tuy nhiên trong vài tháng qua, tôi lại bắt đầu mất ngủ và gặp ác mộng mà không báo trước. Làm thế nào tôi có thể giải quyết vấn đề này?","Trước hết, tập thể dục luôn có lợi cho sức khỏe thể chất và tinh thần của bạn. Thật tuyệt khi bạn đã thêm điều này vào thói quen của mình. Bạn cũng đã cân nhắc việc thay đổi chế độ ăn uống của mình chưa? Một số loại thực phẩm có liên quan đến giấc ngủ kém. Ví dụ, rượu, caffeine, nicotin và thực phẩm có hàm lượng chất béo cao không tốt cho giấc ngủ chất lượng, đặc biệt là ngay trước giờ đi ngủ. Mặt khác, sữa ấm và thực phẩm giàu carbohydrate thực sự có tác động tích cực đến giấc ngủ. Ngoài ra, trước khi đi ngủ, điều quan trọng là giữ cho căn phòng của bạn sáng sủa, mát mẻ và không có phiền nhiễu (như TV, IPad, Điện thoại). Tuân thủ thói quen ngủ và tránh mọi hoạt động gần giờ đi ngủ đòi hỏi nhiều sự chú ý và năng lượng. Đối với những cơn ác mộng của bạn, có thể có nhiều nguyên nhân góp phần gây ra chúng. Một số loại thực phẩm (nhiều loại được đề cập) hoặc thuốc có thể là thủ phạm. Thực hiện một chút nghiên cứu về những thứ bạn đang tiêu thụ có thể giúp bạn loại bỏ kẻ phạm tội. Bạn cũng có thể được hưởng lợi từ liệu pháp trò chuyện với một nhà trị liệu có trình độ để thảo luận về bất kỳ vấn đề tiềm ẩn nào mà bạn đang gặp phải. Thông thường, trầm cảm và lo lắng có thể biểu hiện trong khi ngủ, gây ra ác mộng. Cuối cùng, Yoga đã được chứng minh là rất có lợi cho giấc ngủ chất lượng. Có rất nhiều video hướng dẫn có thể giới thiệu cho bạn cách thực hành nếu bạn chưa muốn tham gia lớp học ngay. Chúc bạn may mắn và tôi chân thành hy vọng bạn có thể bắt kịp một số Z xứng đáng!"
Bạn sẽ làm gì khi một nhà trị liệu và một phụ huynh đánh thuốc mê một đứa trẻ và bịa ra những lời nói dối để ngăn chặn quyền thăm nuôi của phụ huynh kia?,"Tôi sẽ thừa nhận tôi bối rối về câu hỏi này. Bạn có phải là phụ huynh khác được đề cập hoặc là đồng nghiệp có liên quan của nhà trị liệu này không? Các nhà trị liệu không kê đơn hoặc có quyền tiếp cận thuốc. Hầu hết các nhà trị liệu thậm chí sẽ không tham gia vào cuộc chiến giành quyền nuôi con. Họ biết rất có thể hồ sơ của họ sẽ bị đưa ra tòa và chính họ sẽ phải làm chứng trước tòa. Tất nhiên, các nhà trị liệu là con người và có thể mắc sai lầm, nhưng tôi thấy rất khó có khả năng một nhà trị liệu cố tình và sẵn sàng làm điều gì đó như thế này, một hành vi vi phạm đạo đức nghiêm trọng. Họ không chỉ bị mất giấy phép hành nghề khi làm điều này mà còn phải đối mặt với cáo buộc hình sự và phải ngồi tù. Nếu phán đoán lâm sàng của họ cho rằng người cha/mẹ kia là mối nguy hiểm cho đứa trẻ, họ không cần phải dùng đến các biện pháp bất hợp pháp để chứng minh điều này. Nếu bạn có bằng chứng cụ thể cho thấy điều này đã xảy ra thì sẽ có một quy trình trong đó bạn có thể gửi báo cáo chống lại nhà trị liệu lên hội đồng cấp phép của họ. Mỗi nhà trị liệu đều được cấp phép ở tiểu bang của họ. Có nhiều loại giấy phép khác nhau nên bạn cần phải biết giấy phép của nhà trị liệu này. Hầu hết các lời buộc tội từ bên cha/mẹ kia đều có thể xảy ra trong tình huống giành quyền nuôi con vì mọi người có xu hướng trở nên khá xấu xí. Đừng buộc tội nhà trị liệu hoặc cha mẹ về bất cứ điều gì chỉ để cố gắng làm cho bản thân bạn trông đẹp hơn và họ trông thật tệ. Có bằng chứng về hành vi sai trái trước khi buộc tội họ về việc này. Nếu điều này thực sự đã xảy ra thì tất nhiên nó cần phải được báo cáo, nhưng đừng cố gắng hủy hoại sự nghiệp của ai đó trừ khi bạn chắc chắn điều này đã xảy ra."
Họ gọi tôi bằng những cái tên như đạo đức giả và trẻ con ngay cả khi họ hành động giống như tôi. Tôi chán việc bị gọi tên rồi. Tôi nên làm gì?,"Có vẻ như bạn đang bối rối không hiểu tại sao bạn bè lại gọi bạn là kẻ đạo đức giả khi họ hành động theo cách tương tự, đúng không? Giao tiếp là chìa khóa cho bất kỳ mối quan hệ nào. Tôi khuyên bạn nên nói chuyện trực tiếp với bạn bè của mình để giải quyết lý do tại sao họ cảm thấy hành vi của bạn đáng lo ngại. Liên hệ trực tiếp là phương pháp tốt nhất để giải quyết những khác biệt vì tin nhắn, email hoặc bất kỳ phản hồi bằng văn bản nào đều có thể bị hiểu sai. Hãy thẳng thắn với họ và cho họ biết rằng việc bị buộc tội là đạo đức giả là điều gây tổn thương và bạn cảm thấy điều đó là vô căn cứ. Nếu sau khi nói chuyện với họ, bạn cảm thấy rằng họ có lý do chính đáng cho cảm giác của họ, có thể bạn có thể cân nhắc việc sửa đổi hành vi của mình cho phù hợp. Đặc biệt nếu tình bạn này có giá trị với bạn. Tuy nhiên, hãy đảm bảo rằng họ biết rằng có một cách tôn trọng để giải quyết những vấn đề này và việc gọi tên không phải là một trong số đó. Mặt khác, nếu bạn cảm thấy lý do của họ thực sự vô căn cứ, tốt nhất bạn nên tránh xa mối quan hệ này. Không phải tất cả tình bạn đều là tình bạn lành mạnh. Và điều quan trọng là bạn phải bao quanh mình những người là tài sản cho lòng tự trọng của bạn chứ không phải những người cản trở nó. Tôi hy vọng bạn có thể giải quyết được vấn đề này. May mắn nhất!"
"Đối với tôi lừa dối là điều không thể chấp nhận được nhưng vì chúng tôi có hai cô con gái nên tôi quyết định không tan vỡ gia đình.
Tuy nhiên, bây giờ tôi đang cố gắng quên đi và tha thứ cho những gì đã xảy ra. Tôi cảm thấy mình không thể tin tưởng anh ấy được. Không có sự tin tưởng, tôi không thể tiếp tục mối quan hệ này. Mặt khác, tôi không muốn con mình bị tổn thương. Tôi không chắc chắn làm thế nào để tiến về phía trước?","Trước hết, trái tim tôi hướng về bạn. Ngoại tình là một trở ngại cực kỳ khó vượt qua. Có một số điều mà bạn nên xem xét. Trước hết, anh ta có vẻ thực sự hối hận không? Nếu trong thâm tâm bạn cảm thấy anh ấy thực sự hối tiếc vì những gì mình đã làm, điều đó sẽ khiến bạn nghĩ rằng đó là một sai lầm. Thứ hai, liệu anh ấy có sẵn sàng cung cấp thông tin này không? Còn việc trả lời câu hỏi của bạn sau khi sự thật được khám phá thì sao? Nếu bạn phát hiện ra anh ta vẫn đang nói dối hoặc không chịu ra ngoài thì vết thương lại càng đau hơn. Anh ấy sẽ có thể trả lời bất kỳ câu hỏi nào của bạn một cách trung thực và không do dự. Thứ ba, anh ấy có thể hiện sự khác biệt tích cực sau trải nghiệm này không? Lúc này lẽ ra anh ấy vẫn đang chứng minh sự chung thủy của mình với cuộc hôn nhân, với bạn và các con. Hãy nhớ rằng trải qua sự không chung thủy là một dạng đau buồn. Đó không phải là một quá trình nhanh chóng có thể dễ dàng vượt qua. Những gì bạn đang trải qua là bình thường 100%. Đề nghị tốt nhất của tôi là đến gặp một nhà trị liệu hôn nhân. Hãy tìm hiểu xem điều gì đã khiến chồng bạn lừa dối ngay từ đầu và quyết định xem khía cạnh này trong cuộc sống của anh ấy đã được giải quyết chưa. Tôi biết điều quan trọng là bạn phải giữ gia đình bên nhau nhưng trẻ em có thể cảm nhận được sự tức giận và thất vọng, đây cũng không phải là một môi trường lành mạnh. Nếu bạn quyết định rằng bạn không thể duy trì mối quan hệ này nữa, nhà trị liệu cũng có thể giúp bạn đương đầu với sự chia ly cũng như giải quyết các nhu cầu của con bạn. Hãy biết rằng bạn không đơn độc và thật không may, nhiều mối quan hệ đã phải chịu đựng điều này. Việc tiếp cận với những người đã trải qua những trở ngại tương tự cũng có thể hữu ích. Web là một nguồn tài nguyên tuyệt vời để tìm các nhóm dù trực tuyến hay trực tiếp để sử dụng làm nguồn hỗ trợ hoặc diễn đàn. Gửi những lời chúc tốt đẹp nhất đến bạn và gia đình!"
"Tôi có rất nhiều vấn đề đang xảy ra ngay bây giờ. Trước hết, có lúc tôi rất khó ngủ, có đêm tôi ngủ quá nhiều mà vẫn cảm thấy khá mệt mỏi. Tôi cũng nhận thấy sự cáu kỉnh ngày càng tăng và trải qua những cơn lo âu kéo dài hàng giờ. Có điều gì đó không ổn với tôi và nếu vậy tôi nên làm gì?","Có vẻ như bạn đang trải qua cơn lo lắng và/hoặc trầm cảm. Khó ngủ, khó chịu và lo lắng đều có liên quan đến những rối loạn tâm trạng này. Và thực sự khá phổ biến khi ai đó gặp phải điều này trong suốt cuộc đời của họ. Ngoài ra, hãy nhớ rằng chỉ vì bạn đang trải qua điều này bây giờ không có nghĩa là bạn sẽ phải đối mặt với nó trong suốt quãng đời còn lại. Nhiều khi, nó có thể chỉ là một đợt duy nhất và nếu được điều trị, bạn có thể giúp ngăn ngừa bất kỳ đợt tái phát nào. Tuy nhiên, trước tiên bạn có thể muốn nói chuyện với bác sĩ chính của mình để loại trừ bất kỳ vấn đề y tế nào có thể gây ra những vấn đề này. Có thể có lý do khiến các triệu chứng này xuất hiện đột ngột và có thể được giải quyết nhanh chóng. Mặt khác, nếu xác định rằng bạn đang lo lắng và/hoặc trầm cảm mà không có lý do y tế, thì có hai phương pháp rất hữu ích trong việc điều trị của bạn: <b>#1 Trị liệu bằng trò chuyện với bác sĩ trị liệu được chứng nhận</b> Anh ấy/Cô ấy sẽ có thể giải quyết những lo lắng mà bạn đang gặp phải và khám phá xem liệu có vấn đề tiềm ẩn nào có thể gây ra vấn đề đó hay không. <b>#2 Thuốc</b> Có nhiều loại thuốc có thể giúp bạn giải quyết những cảm giác mà bạn đang trải qua. Bác sĩ sẽ có thể giúp bạn tìm ra loại phù hợp với bạn. Nếu một cái không hiệu quả, hãy tiếp tục cố gắng. Có nhiều lựa chọn khác nhau để giải quyết các nhu cầu cụ thể của bạn. Ngoài ra, sự kết hợp của hai lựa chọn này là vô cùng có lợi! Cảm ơn câu hỏi của bạn. Tôi chân thành hy vọng rằng bạn sẽ sớm cảm thấy tốt hơn!"
"Tôi không có ham muốn tình dục do vấn đề y tế. Tôi đã tắt hoàn toàn và cấm mọi người ra ngoài. Tôi thậm chí còn nói với chồng rằng tôi muốn ly hôn vì đó là điều tôi nghĩ anh ấy muốn nghe. Tuy nhiên, tôi rất đau lòng khi biết anh ấy đang hẹn hò với người khác.
Kể từ đó, tôi đã nói với anh ấy rằng tôi muốn giải quyết mọi việc nhưng anh ấy không chắc tôi thực sự có ý đó. Anh ấy nghĩ lý do duy nhất tôi muốn anh ấy quay lại là vì tôi ghen tị. Làm thế nào để cho anh ấy thấy tôi nghiêm túc?","Tôi rất tiếc khi biết về tình hình hiện tại của bạn. Trái tim tôi hướng về bạn trong thời gian này. Trước hết, điều quan trọng nhất là bạn phải thảo luận về các triệu chứng của mình với bác sĩ. Bất kể bạn có thể hàn gắn mối quan hệ với chồng hay không, bạn cần giải quyết các vấn đề thể chất mà bạn đang gặp phải. Nhiều khả năng anh ấy/cô ấy sẽ có thể giúp bạn giảm bớt một số triệu chứng này. Thứ hai, bạn phải thẳng thắn và thành thật với chồng. Sự thân mật là một phần quan trọng của một mối quan hệ và thật không công bằng cho chồng bạn nếu bạn không tiết lộ cảm xúc của mình. Tôi nghĩ anh ấy sẽ đánh giá cao khi biết rằng chính vấn đề y tế của bạn đã gây ra tình trạng thiếu ham muốn tình dục chứ không phải nguyên nhân là do anh ấy. Nếu bạn giải thích với anh ấy rằng bạn đang giải quyết các vấn đề tình dục với bác sĩ để cải thiện mối quan hệ, anh ấy có thể sẵn sàng hơn khi thấy rằng bạn nghiêm túc trong việc muốn hàn gắn mối quan hệ. Cuộc trò chuyện sẽ khó giải thích với bác sĩ và chồng bạn vì nó mang tính chất cá nhân nhưng nó sẽ vô cùng có lợi. Và xin lưu ý rằng lý do dẫn đến những cảm giác mà bạn đang trải qua (hoặc thiếu cảm giác đó) không phải lỗi của bạn. Chúc bạn và chồng bạn may mắn!"
"Tôi có rất nhiều vấn đề đang xảy ra ngay bây giờ. Trước hết, có lúc tôi rất khó ngủ, có đêm tôi ngủ quá nhiều mà vẫn cảm thấy khá mệt mỏi. Tôi cũng nhận thấy sự cáu kỉnh ngày càng tăng và trải qua những cơn lo âu kéo dài hàng giờ. Có điều gì đó không ổn với tôi và nếu vậy tôi nên làm gì?","Chào bạn. Tôi phải khen ngợi bạn vì đã liên hệ để nhận được một số câu trả lời về lý do tại sao bạn lại cảm thấy như vậy. Rất nhiều người bí mật trải qua cuộc sống của họ hàng ngày với cảm giác như vậy vì họ quá sợ hãi về câu trả lời có thể là gì. Trước hết, hiện tại bạn có những yếu tố gây căng thẳng nào trong cuộc sống? Tài chính, các mối quan hệ và thất nghiệp đều là những yếu tố gây căng thẳng phổ biến cho con người. Chúng thường có thể khiến chúng ta khó ngủ vào ban đêm do những suy nghĩ liên tục chạy đua và băn khoăn không biết bạn sẽ giải quyết tất cả như thế nào. Thứ hai, bạn có tiền sử trầm cảm hay trầm cảm có di truyền trong gia đình bạn không? Một số triệu chứng được liệt kê ở đây trong câu hỏi này (tức là khó ngủ, mệt mỏi liên tục, ngủ quá nhiều, tức giận và lo lắng) đều là những triệu chứng phổ biến của bệnh trầm cảm. Thông thường, những triệu chứng này có thể bị bỏ qua và nhầm lẫn là ""chỉ mệt mỏi"". Hơn nữa, điều quan trọng là hãy tự hỏi bản thân xem liệu bạn có cảm thấy mình vô dụng hay không, có vấn đề về khả năng tập trung và ý nghĩ thường xuyên về cái chết hay không. Nếu bạn đang có những triệu chứng này, hãy tìm kiếm sự giúp đỡ NGAY LẬP TỨC. Cuối cùng, xem xét các triệu chứng đã nêu của bạn, tôi khuyên bạn nên liên hệ với Bác sĩ để được tư vấn thêm. Luôn luôn tốt hơn để được an toàn và bạn càng phát hiện sớm các triệu chứng thì bạn sẽ càng cảm thấy tốt hơn! làm Một số lời khuyên hữu ích dành cho Bác sĩ là theo dõi thói quen ngủ của bạn (tức là bạn ngủ nhiều hay ít), lập danh sách các tác nhân gây ra cơn giận dữ bộc phát cũng như các tác nhân gây ra các cơn lo lắng của bạn. Tôi hy vọng điều này hữu ích và chúc bạn may mắn."
"Cảm xúc cuối cùng của tôi thuộc về thú cưng của tôi. Hôm nay bố tôi nói có thể ngày mai ông sẽ bỏ chúng đi. Nếu điều đó xảy ra, tôi có thể đào một cái hố xuống đất với một tờ giấy có nội dung ""đây là cảm xúc của tôi. R.I.P."" Tôi thực tế không còn cảm xúc nào nữa và tôi nhận ra điều này không bình thường bằng cách so sánh phản ứng của tôi trước những tình huống nhất định với phản ứng của gia đình tôi. Có chuyện gì xảy ra với tôi vậy?","Đối với tôi, có vẻ như bạn đã trải qua rất nhiều chuyện và giờ bạn sợ mình sẽ mất đi thứ cuối cùng mà bạn quan tâm, đó là thú cưng của bạn. Tôi không biết chuyện gì đang xảy ra trong gia đình bạn và tôi không thể trả lời về hành động của bố bạn hoặc lý do đằng sau chuyện này. Tôi khuyên bạn nên tập trung vào việc phát triển các kỹ năng đối phó lành mạnh. Chúng ta không thể thay đổi những gì người khác làm nhưng chúng ta có thể thay đổi cách những gì họ làm ảnh hưởng đến chúng ta. Nếu bạn có tất cả cảm xúc và bản thân bị ràng buộc vào một thứ (chẳng hạn như thú cưng của bạn) thì khi thứ đó bị lấy đi, nó sẽ gây ra rất nhiều đau khổ về mặt cảm xúc. Thật tốt khi có nhiều sở thích khác nhau như bạn bè, sở thích, trò chơi, v.v. Phát triển những thứ khác mà bạn quan tâm và đam mê. Một lý do khác để phát triển các kỹ năng đối phó lành mạnh nhằm đối phó với bất cứ điều gì có thể xảy ra trong cuộc sống của bạn là nếu bạn không có những kỹ năng lành mạnh thì bạn có thể phát triển một số kỹ năng rất không lành mạnh. Bạn phải đối phó bằng cách nào đó, phải không? Phát triển những cách đối phó không lành mạnh với cuộc sống sẽ chỉ khiến cuộc sống của bạn trở nên khó khăn hơn. Tôi không biết liệu ngôi nhà của bạn có giống như vậy không, nhưng có hai loại môi trường gia đình có thể gây ra rối loạn chức năng ở trẻ em. Một là khi bạn lớn lên trong một gia đình rất nghiêm khắc, nơi mọi quyết định đều được đưa ra cho bạn và bạn cảm thấy như mình không có quyền kiểm soát bất cứ điều gì. Người còn lại là một gia đình nơi mọi thứ hỗn loạn và bạn không bao giờ biết điều gì sẽ xảy ra tiếp theo và không có sự ổn định. Mọi người cần có sự ổn định nhất định trong cuộc sống và cần cảm thấy có thể kiểm soát được một số thứ để cảm thấy an toàn. Cả hai môi trường này đều có thể khiến bạn phát triển một số cách đối phó không lành mạnh với cuộc sống. Hãy nói chuyện với một người lớn đáng tin cậy về cảm xúc của bạn trước khi mọi chuyện trở nên tồi tệ hơn."
"Tôi và bạn gái vừa chia tay. Cô ấy nói yêu tôi nhưng không còn yêu nữa. Điều này đến từ hư không. Chúng tôi dường như rất hạnh phúc bên nhau.
Mọi chuyện bắt đầu khi cô tới Missouri để thăm gia đình. Tuần đầu tiên cô ấy ở đó, cô ấy vẫn ổn nhưng khi cô ấy đến nhà người chị này, mọi thứ đã thay đổi. Lúc đó cô ấy nói với tôi rằng cô ấy yêu tôi nhưng không còn yêu tôi nữa. Tôi nghĩ có lẽ đó chỉ là vì cô ấy nhớ gia đình và cô ấy chỉ muốn ở nhà vì cô ấy nói với tôi rằng cô ấy không thể rời xa họ một lần nữa.
Sau đó cô ấy bảo tôi đến gặp cô ấy ở Missouri. Đó là những gì tôi đã làm. Tôi nghỉ việc, bỏ rơi mọi thứ, tạm biệt gia đình ở Florida và lái xe 15 tiếng liên tục để đến bên cô ấy.
Khi tôi đến đó thì mọi thứ lại ổn. Cô ấy xin lỗi về tất cả mọi thứ và nói rằng cô ấy không có ý gì cả, sau đó chúng tôi sẽ ổn trong khoảng một tuần. Sau đó cô ấy quay lại nói rằng cô ấy không còn yêu tôi nữa và không còn tình cảm với tôi nữa.
Điều duy nhất khiến tôi thực sự khó chịu và không muốn chấp nhận điều này là giờ cô ấy đang mang thai. Đây không phải là một tai nạn. Chúng tôi đang cố gắng mang thai nên tất cả những điều này thật khó chấp nhận. Tôi yêu cô ấy rất nhiều. Tôi chưa bao giờ đối xử tệ với cô ấy. Tôi đã đối xử với cô ấy tốt nhất có thể. Tôi muốn cô ấy làm vợ tôi. Tôi định cầu hôn cô ấy khi cô ấy quay lại. Bây giờ tôi đang mất đi gia đình và tâm trí của mình. Tôi không biết phải làm gì.","Tôi rất tiếc khi nghe về những rắc rối này. Tôi thấy một số vấn đề ở đây. Tôi tự hỏi tại sao cả hai bạn đều cố gắng có thai khi mối quan hệ có vẻ rắc rối? Một số người nghĩ rằng họ có thể hàn gắn mối quan hệ tan vỡ bằng cách mang thai, và tất cả những điều này chỉ mang lại nhiều vấn đề hơn. Bạn nói rằng bạn chưa bao giờ đối xử tệ với cô ấy, và tôi tin bạn. Những người đang trong một mối quan hệ vẫn có thể không hạnh phúc ngay cả khi không có sự lạm dụng hoặc ngược đãi nào xảy ra. Trên thực tế, việc cống hiến quá nhiều cho mối quan hệ và không có “cái tôi” bên ngoài mối quan hệ này có thể không lành mạnh. Cần có hai con người trọn vẹn, khỏe mạnh, hạnh phúc như vậy khi còn độc thân để đến với nhau để tạo nên một cặp đôi trọn vẹn, khỏe mạnh, hạnh phúc trong một mối quan hệ. Mong đợi đối phương đáp ứng mọi nhu cầu của bạn hoặc mang lại hạnh phúc cho bạn sẽ không hiệu quả. Có hai cuốn sách tôi khuyên bạn nên mua và đọc. Một là Không phụ thuộc nữa. Cái còn lại là Mối quan hệ của tôi có thể được cứu vãn không? Đôi khi bạn bám víu và cố gắng hơn nữa để giữ lấy ai đó, điều đó khiến cả hai đều đau khổ. Bạn không thể thay đổi cô ấy và không thể thay đổi suy nghĩ của cô ấy. Đôi khi điều tốt nhất là buông bỏ. Nếu điều đó là có ý nghĩa, cuối cùng bạn sẽ quay lại với nhau. Có vẻ như đây là điều mà cô ấy cần phải quyết định vì cô ấy là người tiếp tục rời đi. Tôi đề nghị lùi lại và để cô ấy đi. Có lẽ cô ấy cần thời gian để giải tỏa đầu óc và quyết định. Nếu có ý định đó, cô ấy sẽ quay lại. Nếu không, hãy sử dụng thời gian này để tự mình trở thành một người khỏe mạnh và hạnh phúc."
